Time,Timestamp,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Estimulo
0.208,1595457113840.694,35985.859,9169.333,-61590.742,-17917.225,-16266.481,-27845.043,-63494.844,-25049.398,0
0.212,1595457113844.694,38347.344,9114.103,-61590.812,-17975.428,-16703.525,-27916.121,-63545.359,-25152.082,0
0.216,1595457113848.694,39231.512,9151.005,-61535.332,-17898.182,-17479.578,-27869.740,-63517.039,-25131.250,0
0.220,1595457113852.694,38111.332,9248.459,-61497.133,-17798.156,-17411.248,-27722.219,-63445.312,-25033.842,0
0.224,1595457113856.694,35795.266,9232.745,-61526.305,-17800.258,-16875.723,-27817.281,-63428.996,-25009.545,0
0.228,1595457113860.694,35883.555,9149.642,-61604.086,-17896.371,-16364.829,-27832.324,-63494.508,-25094.078,0
0.232,1595457113864.693,38253.734,9080.798,-61606.367,-17965.102,-16736.158,-27963.461,-63538.652,-25235.119,0
0.236,1595457113868.693,39138.484,9122.663,-61550.445,-17874.064,-17475.867,-27790.951,-63502.062,-25212.275,0
0.240,1595457113872.693,38007.262,9239.384,-61510.770,-17767.535,-17421.529,-27708.518,-63434.785,-25110.105,0
0.244,1595457113876.693,35730.402,9234.802,-61528.426,-17767.959,-16849.795,-27772.824,-63416.434,-25083.752,0
0.248,1595457113880.693,35821.887,9168.327,-61600.199,-17867.961,-16340.689,-27904.051,-63481.477,-25187.801,0
0.252,1595457113884.693,38203.020,9104.603,-61618.305,-17925.896,-16717.941,-27878.793,-63533.445,-25298.039,0
0.256,1595457113888.693,39121.094,9164.461,-61543.672,-17824.912,-17486.664,-27794.059,-63487.914,-25257.939,0
0.260,1595457113892.692,37991.996,9276.443,-61514.301,-17726.229,-17455.863,-27760.463,-63424.930,-25142.248,0
0.264,1595457113896.692,35753.246,9276.331,-61538.531,-17726.051,-16894.207,-27716.744,-63410.465,-25083.463,0
0.268,1595457113900.692,35812.590,9203.465,-61605.430,-17820.508,-16346.791,-27834.111,-63468.000,-25175.820,0
0.272,1595457113904.692,38211.715,9162.538,-61615.664,-17871.023,-16711.416,-27931.588,-63513.219,-25295.379,0
0.276,1595457113908.692,39128.941,9209.053,-61556.680,-17785.305,-17501.572,-27861.738,-63480.336,-25276.604,0
0.280,1595457113912.692,38032.812,9310.574,-61534.688,-17683.561,-17470.346,-27699.734,-63428.504,-25144.527,0
0.284,1595457113916.692,35788.336,9302.215,-61551.426,-17675.178,-16865.174,-27713.100,-63401.258,-25095.621,0
0.288,1595457113920.692,35837.043,9241.061,-61608.023,-17768.965,-16274.327,-27824.881,-63449.516,-25176.914,0
0.292,1595457113924.691,38271.082,9188.936,-61622.887,-17824.398,-16665.348,-27901.078,-63508.254,-25292.764,0
0.296,1595457113928.691,39213.652,9240.077,-61551.941,-17735.506,-17439.971,-27829.730,-63464.758,-25258.096,0
0.300,1595457113932.691,38051.184,9343.699,-61516.672,-17647.328,-17429.555,-27809.145,-63409.395,-25155.076,0
