timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
191342.817,21.973,30.762,26.367,26.855,18.066,0
191342.821,18.066,25.879,29.297,34.668,-26.855,0
191342.825,19.043,24.902,38.086,33.691,13.184,0
191342.829,25.391,21.973,36.621,40.527,67.871,0
191342.832,25.391,21.973,25.879,32.715,66.406,0
191342.836,25.391,28.809,25.879,24.414,68.848,0
191342.840,14.648,34.668,34.180,40.527,75.195,0
191342.844,7.324,27.832,28.320,43.945,77.148,0
191342.848,15.137,25.879,20.996,24.902,60.547,0
191342.852,19.043,28.320,32.715,25.391,22.461,0
191342.856,12.695,22.461,45.410,23.926,7.812,0
191342.860,17.090,18.555,49.316,36.621,72.266,0
191342.864,20.020,15.625,40.527,38.574,115.234,0
191342.868,24.902,20.508,37.598,15.137,66.895,0
191342.872,29.785,32.715,39.062,13.184,35.156,0
191342.875,33.203,39.551,33.203,38.574,57.129,0
191342.879,30.762,39.062,31.250,41.016,52.734,0
191342.883,27.832,37.598,22.461,24.902,-11.719,0
191342.887,26.855,35.645,13.184,34.668,-31.738,0
191342.891,14.648,30.273,22.949,44.922,26.855,0
191342.895,20.996,30.762,41.016,46.387,62.988,0
191342.899,31.250,36.621,49.316,34.668,47.363,0
191342.903,23.438,21.973,43.945,15.137,23.926,0
191342.907,21.973,15.625,42.480,23.438,35.156,0
191342.911,25.391,33.691,38.574,43.457,60.547,0
191342.914,31.738,45.898,33.691,39.062,39.551,0
191342.918,34.180,46.875,35.645,21.973,-30.273,0
191342.922,24.902,40.527,41.504,32.227,-8.789,0
191342.926,21.973,29.297,33.691,50.293,96.191,0
191342.930,21.484,28.809,14.160,40.527,74.219,0
191342.934,20.996,39.062,10.254,25.879,3.418,0
191342.938,23.438,45.898,27.344,30.762,-5.859,0
191342.942,19.043,35.156,43.457,38.574,26.367,0
191342.946,19.043,27.344,41.992,39.062,54.688,0
191342.950,20.020,30.762,41.016,15.625,0.977,0
191342.954,11.230,35.645,43.457,12.695,-13.672,0
191342.957,14.648,33.691,43.945,36.621,18.555,0
191342.961,24.414,29.297,48.340,41.504,32.227,0
191342.965,23.438,38.086,38.086,20.996,42.480,0
191342.969,24.902,39.062,24.902,22.949,9.766,0
191342.973,16.113,26.855,20.020,26.367,-3.418,0
191342.977,15.137,28.320,19.043,29.297,43.945,0
191342.981,28.809,32.227,19.043,37.109,16.602,0
191342.985,32.715,21.973,21.484,23.438,-42.480,0
191342.989,26.367,24.902,27.344,17.090,-24.902,0
191342.993,27.832,33.691,33.691,27.344,30.273,0
191342.997,25.391,30.762,47.363,38.086,52.246,0
191343.000,25.391,33.203,45.410,28.320,-10.254,0
191343.004,27.832,37.109,34.668,22.461,-40.039,0
191343.008,15.625,36.133,33.203,30.762,-13.672,0
191343.012,13.672,30.273,29.785,31.738,22.949,0
191343.016,20.020,30.762,19.531,16.113,20.020,0
191343.020,14.160,30.762,22.949,23.926,-36.133,0
191343.024,9.277,27.832,29.785,42.969,-36.133,0
191343.028,16.602,26.855,31.738,38.086,19.043,0
191343.032,26.367,28.320,27.344,25.391,19.043,0
191343.036,33.203,28.320,27.832,34.668,19.043,0
191343.039,23.926,23.438,34.668,36.621,44.434,0
191343.043,14.160,23.438,28.320,47.363,75.684,0
191343.047,24.414,34.180,25.391,40.527,75.684,0
191343.051,20.020,35.156,30.762,17.578,22.461,0
191343.055,4.883,25.391,27.344,15.625,36.133,0
191343.059,15.137,25.391,20.020,45.410,62.012,0
191343.063,28.320,28.320,23.438,35.645,66.406,0
191343.067,22.461,24.902,36.133,9.277,50.781,0
191343.071,18.066,20.508,39.551,30.273,32.227,0
191343.075,18.555,28.320,40.527,46.387,49.805,0
191343.079,21.484,28.809,39.062,44.922,75.195,0
191343.082,26.855,29.785,34.668,28.320,55.176,0
191343.086,26.855,37.109,38.574,17.090,3.418,0
191343.090,12.695,29.297,38.086,27.344,28.809,0
191343.094,21.973,19.043,34.180,42.969,61.035,0
191343.098,35.156,19.531,34.668,34.668,39.062,0
191343.102,22.949,20.996,31.738,33.203,25.391,0
191343.106,16.602,24.902,34.668,30.762,-10.254,0
191343.110,16.602,27.832,32.227,41.992,34.180,0
191343.114,19.043,33.203,18.066,32.715,71.289,0
191343.118,19.043,37.598,17.578,20.020,4.395,0
191343.122,15.625,27.832,21.973,19.531,-25.879,0
191343.125,14.160,28.809,23.438,19.043,10.742,0
191343.129,20.508,29.297,34.668,21.973,1.465,0
191343.133,20.996,29.785,47.363,22.949,-44.922,0
191343.137,16.602,28.809,52.734,11.719,-47.852,0
191343.141,19.531,17.090,48.340,16.602,-29.297,0
191343.145,15.625,15.625,41.992,34.668,50.293,0
191343.149,9.277,30.762,26.367,28.809,55.664,0
191343.153,15.625,34.180,15.625,34.668,-23.438,0
191343.157,21.484,28.809,30.762,29.297,-24.414,0
191343.161,25.391,28.809,39.551,31.250,20.020,0
191343.164,26.367,30.273,38.086,30.762,-18.066,0
191343.168,23.438,31.738,32.715,16.602,-74.219,0
191343.172,12.207,28.320,31.250,23.926,-44.434,0
191343.176,22.461,17.090,33.203,38.086,12.207,0
191343.180,41.016,18.066,38.086,45.410,35.645,0
191343.184,37.109,30.273,39.551,29.785,-9.277,0
191343.188,22.461,38.574,29.297,8.301,-60.547,0
191343.192,22.949,40.527,28.320,33.203,1.953,0
191343.196,31.250,38.574,33.691,47.852,38.574,0
191343.200,29.785,40.527,26.367,21.484,-33.691,0
191343.204,32.715,33.203,23.438,21.484,-74.707,0
191343.207,25.391,27.344,34.180,34.668,-4.883,0
