timestamps,TP9,AF7,AF8,TP10,Right AUX,Estimulo
217087.570,30.762,35.156,60.547,31.250,69.336,2
217087.574,25.391,25.391,55.664,27.344,79.102,0
217087.578,15.625,15.137,37.109,17.578,87.402,0
217087.582,32.227,26.367,46.387,32.227,30.273,0
217087.586,46.387,39.062,48.340,55.176,12.695,0
217087.590,39.062,17.578,31.250,57.129,32.227,0
217087.594,32.715,5.859,53.711,43.945,41.016,0
217087.598,20.508,24.414,65.430,21.484,68.359,0
217087.602,16.113,40.039,47.363,12.207,38.086,0
217087.606,24.902,31.250,37.598,25.879,17.578,0
217087.610,47.852,39.062,42.480,49.805,41.504,0
217087.613,45.898,45.410,50.293,42.480,35.156,0
217087.617,21.973,31.738,39.551,19.043,21.973,0
217087.621,28.809,26.855,41.992,23.438,20.996,0
217087.625,30.273,24.902,41.504,27.832,39.062,0
217087.629,24.414,25.879,40.527,20.508,44.922,0
217087.633,31.738,30.273,52.246,33.203,20.020,0
217087.637,32.227,27.832,38.086,35.645,15.625,0
217087.641,37.598,21.484,31.738,36.621,-1.465,0
217087.645,45.410,22.949,39.551,41.992,-12.207,0
217087.649,52.246,35.645,47.852,42.969,-40.527,0
217087.652,46.875,39.551,52.246,46.875,-51.270,0
217087.656,28.809,33.203,52.246,32.227,-43.457,0
217087.660,19.531,24.902,40.527,19.531,-40.527,0
217087.664,23.926,22.461,42.480,21.484,-35.645,0
217087.668,27.832,29.785,49.805,23.438,-36.621,0
217087.672,28.809,32.715,40.039,20.996,15.625,0
217087.676,32.227,27.832,35.156,27.344,30.762,0
217087.680,27.832,25.391,31.250,29.785,31.250,0
217087.684,25.391,33.691,37.598,29.297,88.379,0
217087.688,20.508,33.203,34.668,30.762,67.871,0
217087.692,23.926,19.043,29.785,29.297,20.508,0
217087.695,27.832,8.301,33.691,24.414,15.625,0
217087.699,20.508,24.414,24.414,34.668,5.859,0
217087.703,12.695,45.898,18.066,45.898,35.156,0
217087.707,6.348,45.898,36.133,21.484,73.730,0
217087.711,7.324,41.504,44.434,2.441,20.996,0
217087.715,4.883,36.133,35.156,4.883,5.859,0
217087.719,6.836,9.766,35.645,12.207,20.508,0
217087.723,28.809,14.160,41.992,32.715,23.438,0
217087.727,19.531,42.480,30.273,22.949,68.848,0
217087.731,-2.930,42.969,27.832,4.395,39.551,0
217087.735,-4.883,37.598,43.457,8.301,-21.484,0
217087.738,-2.441,27.832,42.969,9.766,-25.391,0
217087.742,13.184,15.137,34.668,11.719,4.395,0
217087.746,15.625,7.812,37.109,7.812,54.688,0
217087.750,2.441,22.461,41.992,-0.488,73.730,0
217087.754,4.395,28.809,38.086,4.395,75.684,0
217087.758,23.438,19.531,25.879,17.578,74.219,0
217087.762,27.832,26.367,35.156,17.578,53.223,0
217087.766,12.207,32.227,41.016,12.695,64.453,0
217087.770,11.719,41.016,37.109,14.648,108.887,0
217087.774,20.508,36.621,49.805,9.277,68.359,0
217087.777,21.484,22.461,54.199,7.324,25.391,0
217087.781,18.066,18.555,44.434,16.113,-3.906,0
217087.785,15.137,13.184,25.391,22.461,-27.344,0
217087.789,21.484,20.996,35.156,31.738,42.969,0
217087.793,31.738,48.828,75.195,43.457,71.777,0
217087.797,26.855,58.105,72.266,41.016,50.293,0
217087.801,12.695,40.039,55.176,24.414,52.734,0
217087.805,12.695,20.996,56.641,22.949,72.266,0
217087.809,27.344,23.438,52.734,30.762,75.195,0
217087.813,29.297,35.645,41.504,35.645,6.836,0
217087.817,28.320,33.691,38.574,41.504,5.859,0
217087.820,28.809,19.531,58.105,36.133,57.617,0
217087.824,26.855,12.695,66.895,26.855,30.273,0
217087.828,23.926,23.438,55.176,20.020,23.926,0
217087.832,9.766,30.273,62.500,19.043,13.672,0
217087.836,1.953,18.555,60.547,24.414,24.902,0
217087.840,16.113,16.113,49.805,23.438,29.297,0
217087.844,30.273,30.273,52.734,28.809,20.020,0
217087.848,31.250,41.504,48.828,36.133,71.289,0
217087.852,31.738,30.762,45.898,28.809,77.637,0
217087.856,34.180,18.066,58.105,23.926,65.918,0
217087.860,31.738,19.531,62.500,27.344,44.434,0
217087.863,29.785,15.137,62.012,33.203,42.480,0
217087.867,30.762,16.113,54.199,34.180,29.785,0
217087.871,35.645,40.527,58.105,41.016,21.484,0
217087.875,41.504,56.152,61.035,41.504,35.156,0
217087.879,32.227,42.969,53.711,29.785,40.039,0
217087.883,17.090,20.996,58.594,21.973,41.016,0
217087.887,12.207,11.230,58.105,14.648,32.227,0
217087.891,16.113,22.461,57.129,20.996,29.297,0
217087.895,21.973,33.691,50.293,35.645,6.348,0
217087.899,25.391,27.832,48.340,36.133,-7.324,0
217087.902,26.855,14.648,41.504,34.668,20.508,0
217087.906,33.691,17.578,38.086,41.992,37.109,0
217087.910,46.387,29.785,43.457,52.734,41.504,0
217087.914,44.922,32.227,38.574,59.082,39.062,0
217087.918,33.203,28.320,46.875,47.363,48.828,0
217087.922,34.668,30.273,59.082,42.969,84.961,0
217087.926,34.668,29.297,58.594,43.457,70.312,0
217087.930,29.297,35.156,57.129,30.273,26.367,0
217087.934,37.598,46.875,58.105,38.574,22.949,0
217087.938,33.691,36.621,46.875,40.039,56.641,0
217087.942,37.109,29.785,34.668,41.992,72.266,0
217087.945,62.012,34.180,31.738,79.102,43.457,0
217087.949,48.828,24.414,30.762,64.941,25.391,0
217087.953,19.043,13.672,41.992,21.484,51.758,0
217087.957,32.227,21.973,59.082,35.645,73.242,0
217087.961,39.551,36.133,63.965,40.039,71.289,0
217087.965,33.691,32.715,56.641,27.832,51.270,0
217087.969,37.598,32.227,50.293,34.180,40.527,0
217087.973,41.504,39.062,35.156,41.016,41.504,0
217087.977,41.016,49.805,29.785,39.062,22.461,0
217087.981,33.203,44.922,36.621,35.156,23.438,0
217087.985,30.762,26.367,30.273,42.480,57.617,0
217087.988,35.156,18.066,34.668,51.270,65.918,0
